timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674050226575,4984,HTTP Request,200,OK,Open Model Thread Group 2-1,text,true,,349,273,3,3,http://10.10.1.2:1323/invoke/fib,4973,0,109
1674050231785,383,HTTP Request,200,OK,Open Model Thread Group 2-4,text,true,,331,273,3,3,http://10.10.1.2:1323/invoke/fib,383,0,2
1674050233604,218,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-7,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,218,0,3
1674050234013,111,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-8,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,111,0,5
1674050233375,873,HTTP Request,200,OK,Open Model Thread Group 2-6,text,true,,333,273,6,6,http://10.10.1.2:1323/invoke/fib,873,0,4
1674050234224,92,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-9,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,92,0,3
1674050234229,199,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-10,text,false,,135,273,4,4,http://10.10.1.2:1323/invoke/fib,199,0,6
1674050234868,110,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-12,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,110,0,7
1674050235093,165,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-13,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,165,0,6
1674050234583,686,HTTP Request,200,OK,Open Model Thread Group 2-11,text,true,,332,273,4,4,http://10.10.1.2:1323/invoke/fib,686,0,2
1674050229972,5732,HTTP Request,200,OK,Open Model Thread Group 2-2,text,true,,360,273,6,6,http://10.10.1.2:1323/invoke/fib,5732,0,6
1674050235580,155,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-15,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,155,0,7
1674050235334,723,HTTP Request,200,OK,Open Model Thread Group 2-14,text,true,,333,273,4,4,http://10.10.1.2:1323/invoke/fib,723,0,3
1674050235628,690,HTTP Request,200,OK,Open Model Thread Group 2-16,text,true,,352,273,3,3,http://10.10.1.2:1323/invoke/fib,689,0,2
1674050236788,124,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-19,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,124,0,2
1674050237066,96,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-20,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,96,0,4
1674050237209,103,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-21,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,103,0,2
1674050236573,753,HTTP Request,200,OK,Open Model Thread Group 2-18,text,true,,352,273,4,4,http://10.10.1.2:1323/invoke/fib,753,0,2
1674050237450,124,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-23,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,124,0,5
1674050237628,148,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-24,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,148,0,3
1674050236542,1458,HTTP Request,200,OK,Open Model Thread Group 2-17,text,true,,340,273,4,4,http://10.10.1.2:1323/invoke/fib,1458,0,2
1674050237404,609,HTTP Request,200,OK,Open Model Thread Group 2-22,text,true,,352,273,3,3,http://10.10.1.2:1323/invoke/fib,609,0,3
1674050238711,93,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-27,text,false,,135,273,5,5,http://10.10.1.2:1323/invoke/fib,93,0,3
1674050232360,6528,HTTP Request,200,OK,Open Model Thread Group 2-5,text,true,,367,273,4,4,http://10.10.1.2:1323/invoke/fib,6528,0,2
1674050238319,678,HTTP Request,200,OK,Open Model Thread Group 2-25,text,true,,350,273,3,3,http://10.10.1.2:1323/invoke/fib,678,0,2
1674050238482,594,HTTP Request,200,OK,Open Model Thread Group 2-26,text,true,,332,273,2,2,http://10.10.1.2:1323/invoke/fib,594,0,3
1674050230812,8552,HTTP Request,200,OK,Open Model Thread Group 2-3,text,true,,341,273,2,2,http://10.10.1.2:1323/invoke/fib,8551,0,4
