timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674037235627,263,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-4,text,false,,135,274,4,5,http://10.10.1.2:1323/invoke/hash,253,0,4
1674037227587,8314,HTTP Request,200,OK,Open Model Thread Group 1-1,text,true,,349,273,1,5,http://10.10.1.2:1323/invoke/fib,8314,0,98
1674037231228,5433,HTTP Request,200,OK,Open Model Thread Group 2-1,text,true,,403,274,3,3,http://10.10.1.2:1323/invoke/hash,5433,0,12
1674037231822,6253,HTTP Request,200,OK,Open Model Thread Group 2-2,text,true,,422,274,2,2,http://10.10.1.2:1323/invoke/hash,6253,0,4
1674037233337,6206,HTTP Request,200,OK,Open Model Thread Group 2-3,text,true,,421,274,1,1,http://10.10.1.2:1323/invoke/hash,6205,0,8
1674037241000,349,HTTP Request,200,OK,Open Model Thread Group 1-2,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,349,0,5
1674037244165,19,HTTP Request,200,OK,Open Model Thread Group 2-5,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,19,0,3
1674037245311,16,HTTP Request,200,OK,Open Model Thread Group 2-6,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,16,0,2
1674037245594,21,HTTP Request,200,OK,Open Model Thread Group 2-7,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,5
1674037250172,20,HTTP Request,200,OK,Open Model Thread Group 2-8,text,true,,393,274,1,3,http://10.10.1.2:1323/invoke/hash,20,0,3
1674037245741,6542,HTTP Request,200,OK,Open Model Thread Group 1-3,text,true,,359,273,2,2,http://10.10.1.2:1323/invoke/fib,6541,0,9
1674037254122,769,HTTP Request,200,OK,Open Model Thread Group 1-5,text,true,,343,273,2,2,http://10.10.1.2:1323/invoke/fib,769,0,4
1674037249929,6803,HTTP Request,200,OK,Open Model Thread Group 1-4,text,true,,367,273,1,1,http://10.10.1.2:1323/invoke/fib,6803,0,4
1674037257479,23,HTTP Request,200,OK,Open Model Thread Group 2-9,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,23,0,10
1674037260366,23,HTTP Request,200,OK,Open Model Thread Group 2-10,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,23,0,7
1674037263563,25,HTTP Request,200,OK,Open Model Thread Group 2-11,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,25,0,3
1674037265665,23,HTTP Request,200,OK,Open Model Thread Group 2-12,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,23,0,7
1674037265721,21,HTTP Request,200,OK,Open Model Thread Group 2-13,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,5
1674037267044,27,HTTP Request,200,OK,Open Model Thread Group 2-14,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,27,0,2
1674037266837,391,HTTP Request,200,OK,Open Model Thread Group 1-6,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,391,0,3
1674037269146,425,HTTP Request,200,OK,Open Model Thread Group 1-7,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,425,0,4
1674037270839,18,HTTP Request,200,OK,Open Model Thread Group 2-15,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,18,0,3
1674037271172,366,HTTP Request,200,OK,Open Model Thread Group 1-8,text,true,,332,273,1,1,http://10.10.1.2:1323/invoke/fib,366,0,3
1674037274869,21,HTTP Request,200,OK,Open Model Thread Group 2-16,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,7
1674037277934,498,HTTP Request,200,OK,Open Model Thread Group 1-9,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,498,0,5
1674037280071,25,HTTP Request,200,OK,Open Model Thread Group 2-17,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,25,0,7
1674037280202,19,HTTP Request,200,OK,Open Model Thread Group 2-18,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,19,0,2
1674037283448,20,HTTP Request,200,OK,Open Model Thread Group 2-19,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,20,0,5
1674037293746,119,HTTP Request,200,OK,Open Model Thread Group 2-20,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,119,0,5
1674037306288,438,HTTP Request,200,OK,Open Model Thread Group 1-10,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,438,0,5
1674037309738,18,HTTP Request,200,OK,Open Model Thread Group 2-21,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,18,0,3
1674037310536,44,HTTP Request,200,OK,Open Model Thread Group 2-22,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,44,0,26
1674037310661,377,HTTP Request,200,OK,Open Model Thread Group 1-11,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,377,0,3
1674037311544,18,HTTP Request,200,OK,Open Model Thread Group 2-23,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,18,0,2
1674037316170,21,HTTP Request,200,OK,Open Model Thread Group 2-24,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,6
1674037318838,18,HTTP Request,200,OK,Open Model Thread Group 2-25,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,18,0,3
1674037319440,21,HTTP Request,200,OK,Open Model Thread Group 2-26,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,6
1674037321131,17,HTTP Request,200,OK,Open Model Thread Group 2-27,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,17,0,2
1674037324262,17,HTTP Request,200,OK,Open Model Thread Group 2-28,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,17,0,4
1674037324946,20,HTTP Request,200,OK,Open Model Thread Group 2-29,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,20,0,5
1674037335620,22,HTTP Request,200,OK,Open Model Thread Group 2-30,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,22,0,6
1674037337758,22,HTTP Request,200,OK,Open Model Thread Group 2-31,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,4
1674037338513,365,HTTP Request,200,OK,Open Model Thread Group 1-12,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,365,0,5
1674037340585,20,HTTP Request,200,OK,Open Model Thread Group 2-32,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,20,0,4
1674037341744,23,HTTP Request,200,OK,Open Model Thread Group 2-33,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,23,0,2
1674037346410,16,HTTP Request,200,OK,Open Model Thread Group 2-34,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,16,0,5
1674037349208,18,HTTP Request,200,OK,Open Model Thread Group 2-35,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,18,0,3
1674037349303,346,HTTP Request,200,OK,Open Model Thread Group 1-13,text,true,,332,273,1,1,http://10.10.1.2:1323/invoke/fib,346,0,4
1674037350168,27,HTTP Request,200,OK,Open Model Thread Group 2-36,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,27,0,7
1674037355500,113,HTTP Request,200,OK,Open Model Thread Group 2-37,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,113,0,3
