timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674033141040,5049,HTTP Request,200,OK,Open Model Thread Group 2-1,text,true,,414,274,1,2,http://10.10.1.2:1323/invoke/hash,5038,0,84
1674033147832,118,HTTP Request,200,OK,Open Model Thread Group 2-2,text,true,,405,274,1,2,http://10.10.1.2:1323/invoke/hash,118,0,5
1674033152343,98,HTTP Request,200,OK,Open Model Thread Group 2-3,text,true,,405,274,2,3,http://10.10.1.2:1323/invoke/hash,98,0,5
1674033152400,124,HTTP Request,200,OK,Open Model Thread Group 2-4,text,true,,405,274,1,2,http://10.10.1.2:1323/invoke/hash,124,0,3
1674033144776,16182,HTTP Request,200,OK,Open Model Thread Group 1-1,text,true,,408,363,1,1,http://10.10.1.2:1323/invoke/imageclass,16182,0,5
1674033163141,113,HTTP Request,200,OK,Open Model Thread Group 2-5,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,113,0,4
1674033167477,91,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-2,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,91,0,5
1674033169909,95,HTTP Request,200,OK,Open Model Thread Group 2-6,text,true,,413,274,1,1,http://10.10.1.2:1323/invoke/hash,94,0,4
1674033173044,127,HTTP Request,200,OK,Open Model Thread Group 2-7,text,true,,411,274,1,2,http://10.10.1.2:1323/invoke/hash,127,0,3
1674033172778,1748,HTTP Request,200,OK,Open Model Thread Group 1-3,text,true,,390,363,1,1,http://10.10.1.2:1323/invoke/imageclass,1748,0,5
1674033174860,106,HTTP Request,200,OK,Open Model Thread Group 2-8,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,106,0,2
1674033175960,115,HTTP Request,200,OK,Open Model Thread Group 2-9,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,115,0,7
1674033177116,94,HTTP Request,200,OK,Open Model Thread Group 2-10,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,94,0,7
1674033178605,128,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-4,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,128,0,8
1674033179088,148,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-5,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,148,0,3
1674033182508,138,HTTP Request,200,OK,Open Model Thread Group 2-11,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,137,0,6
1674033184348,138,HTTP Request,200,OK,Open Model Thread Group 2-12,text,true,,413,274,1,1,http://10.10.1.2:1323/invoke/hash,138,0,4
1674033185214,122,HTTP Request,200,OK,Open Model Thread Group 2-13,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,121,0,4
1674033185613,104,HTTP Request,200,OK,Open Model Thread Group 2-14,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,104,0,6
1674033186779,130,HTTP Request,200,OK,Open Model Thread Group 2-15,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,130,0,3
1674033190840,75,HTTP Request,200,OK,Open Model Thread Group 2-16,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,75,0,4
1674033192099,151,HTTP Request,200,OK,Open Model Thread Group 2-17,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,151,0,7
1674033194466,107,HTTP Request,200,OK,Open Model Thread Group 2-18,text,true,,413,274,1,1,http://10.10.1.2:1323/invoke/hash,107,0,3
1674033196309,127,HTTP Request,200,OK,Open Model Thread Group 2-19,text,true,,413,274,1,1,http://10.10.1.2:1323/invoke/hash,127,0,3
1674033202461,271,HTTP Request,200,OK,Open Model Thread Group 2-20,text,true,,412,274,1,1,http://10.10.1.2:1323/invoke/hash,271,0,3
1674033203670,146,HTTP Request,200,OK,Open Model Thread Group 2-21,text,true,,412,274,1,1,http://10.10.1.2:1323/invoke/hash,145,0,3
1674033205422,99,HTTP Request,200,OK,Open Model Thread Group 2-22,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,98,0,4
1674033212903,2137,HTTP Request,200,OK,Open Model Thread Group 1-6,text,true,,391,363,1,1,http://10.10.1.2:1323/invoke/imageclass,2136,0,5
1674033215829,115,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-8,text,false,,135,363,2,2,http://10.10.1.2:1323/invoke/imageclass,115,0,2
1674033215977,119,HTTP Request,200,OK,Open Model Thread Group 2-23,text,true,,404,274,1,2,http://10.10.1.2:1323/invoke/hash,119,0,3
1674033215582,1850,HTTP Request,200,OK,Open Model Thread Group 1-7,text,true,,392,363,1,1,http://10.10.1.2:1323/invoke/imageclass,1850,0,3
1674033219201,134,HTTP Request,200,OK,Open Model Thread Group 2-24,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,134,0,7
1674033220431,122,HTTP Request,200,OK,Open Model Thread Group 2-25,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,122,0,7
1674033224523,146,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-9,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,146,0,3
1674033230721,104,HTTP Request,200,OK,Open Model Thread Group 2-26,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,104,0,4
1674033232520,132,HTTP Request,200,OK,Open Model Thread Group 2-27,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,132,0,5
1674033236478,132,HTTP Request,200,OK,Open Model Thread Group 2-28,text,true,,403,274,1,1,http://10.10.1.2:1323/invoke/hash,132,0,5
1674033243092,135,HTTP Request,200,OK,Open Model Thread Group 2-29,text,true,,403,274,1,1,http://10.10.1.2:1323/invoke/hash,135,0,4
1674033243640,71,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-10,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,71,0,5
1674033243724,118,HTTP Request,200,OK,Open Model Thread Group 2-30,text,true,,413,274,1,1,http://10.10.1.2:1323/invoke/hash,117,0,3
1674033247224,120,HTTP Request,200,OK,Open Model Thread Group 2-31,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,120,0,9
1674033250228,154,HTTP Request,200,OK,Open Model Thread Group 2-32,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,154,0,7
1674033252332,166,HTTP Request,200,OK,Open Model Thread Group 2-33,text,true,,413,274,1,1,http://10.10.1.2:1323/invoke/hash,165,0,5
1674033252848,118,HTTP Request,200,OK,Open Model Thread Group 2-34,text,true,,412,274,1,1,http://10.10.1.2:1323/invoke/hash,117,0,3
1674033253679,125,HTTP Request,200,OK,Open Model Thread Group 2-35,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,125,0,3
1674033253866,88,HTTP Request,200,OK,Open Model Thread Group 2-36,text,true,,405,274,2,2,http://10.10.1.2:1323/invoke/hash,88,0,5
1674033253876,108,HTTP Request,200,OK,Open Model Thread Group 2-37,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,108,0,2
1674033254072,117,HTTP Request,200,OK,Open Model Thread Group 2-38,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,117,0,3
1674033254782,87,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-11,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,87,0,3
1674033256395,123,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-12,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,123,0,3
1674033258769,115,HTTP Request,200,OK,Open Model Thread Group 2-39,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,115,0,5
1674033262882,241,HTTP Request,200,OK,Open Model Thread Group 2-40,text,true,,404,274,1,1,http://10.10.1.2:1323/invoke/hash,241,0,4
1674033272261,102,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-13,text,false,,135,363,1,1,http://10.10.1.2:1323/invoke/imageclass,102,0,5
