timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674037484052,5932,HTTP Request,200,OK,Open Model Thread Group 2-1,text,true,,404,274,2,2,http://10.10.1.2:1323/invoke/hash,5921,0,99
1674037485692,4678,HTTP Request,200,OK,Open Model Thread Group 2-2,text,true,,403,274,1,1,http://10.10.1.2:1323/invoke/hash,4678,0,5
1674037491077,5770,HTTP Request,200,OK,Open Model Thread Group 1-1,text,true,,348,273,1,1,http://10.10.1.2:1323/invoke/fib,5770,0,8
1674037501225,33,HTTP Request,200,OK,Open Model Thread Group 2-3,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,33,0,19
1674037502741,27,HTTP Request,200,OK,Open Model Thread Group 2-4,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,27,0,13
1674037506647,25,HTTP Request,200,OK,Open Model Thread Group 2-5,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,25,0,9
1674037508185,21,HTTP Request,200,OK,Open Model Thread Group 2-6,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,7
1674037511232,16,HTTP Request,200,OK,Open Model Thread Group 2-7,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,15,0,4
1674037511443,16,HTTP Request,200,OK,Open Model Thread Group 2-8,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,16,0,3
1674037513705,22,HTTP Request,200,OK,Open Model Thread Group 2-9,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,9
1674037516009,13,HTTP Request,200,OK,Open Model Thread Group 2-10,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,13,0,2
1674037521306,23,HTTP Request,200,OK,Open Model Thread Group 2-11,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,22,0,8
1674037522992,29,HTTP Request,200,OK,Open Model Thread Group 2-12,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,29,0,8
1674037522666,365,HTTP Request,200,OK,Open Model Thread Group 1-2,text,true,,332,273,1,1,http://10.10.1.2:1323/invoke/fib,365,0,4
1674037525278,463,HTTP Request,200,OK,Open Model Thread Group 1-3,text,true,,332,273,2,2,http://10.10.1.2:1323/invoke/fib,463,0,3
1674037530368,115,HTTP Request,500,Internal Server Error,Open Model Thread Group 2-15,text,false,,135,274,3,5,http://10.10.1.2:1323/invoke/hash,115,0,3
1674037525808,6721,HTTP Request,200,OK,Open Model Thread Group 2-13,text,true,,409,274,2,4,http://10.10.1.2:1323/invoke/hash,6720,0,2
1674037525451,7186,HTTP Request,200,OK,Open Model Thread Group 1-4,text,true,,342,273,2,3,http://10.10.1.2:1323/invoke/fib,7186,0,2
1674037527385,5677,HTTP Request,200,OK,Open Model Thread Group 1-5,text,true,,359,273,1,2,http://10.10.1.2:1323/invoke/fib,5677,0,7
1674037530332,3728,HTTP Request,200,OK,Open Model Thread Group 2-14,text,true,,420,274,1,1,http://10.10.1.2:1323/invoke/hash,3727,0,6
1674037534718,16,HTTP Request,200,OK,Open Model Thread Group 2-16,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,16,0,3
1674037535207,17,HTTP Request,200,OK,Open Model Thread Group 2-17,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,17,0,4
1674037540928,22,HTTP Request,200,OK,Open Model Thread Group 2-18,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,22,0,2
