timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674038955764,3915,HTTP Request,200,OK,Open Model Thread Group 2-1,text,true,,410,274,1,1,http://10.10.1.2:1323/invoke/hash,3904,0,55
1674038966031,4332,HTTP Request,200,OK,Open Model Thread Group 1-1,text,true,,348,273,1,1,http://10.10.1.2:1323/invoke/fib,4332,0,10
1674038971132,19,HTTP Request,200,OK,Open Model Thread Group 2-2,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,19,0,6
1674038971785,20,HTTP Request,200,OK,Open Model Thread Group 2-3,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,19,0,5
1674038976697,17,HTTP Request,200,OK,Open Model Thread Group 2-4,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,17,0,5
1674038978236,326,HTTP Request,200,OK,Open Model Thread Group 1-2,text,true,,332,273,1,1,http://10.10.1.2:1323/invoke/fib,325,0,4
1674038980272,19,HTTP Request,200,OK,Open Model Thread Group 2-5,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,19,0,3
1674038982064,22,HTTP Request,200,OK,Open Model Thread Group 2-6,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,5
1674038982854,531,HTTP Request,200,OK,Open Model Thread Group 1-3,text,true,,332,273,2,2,http://10.10.1.2:1323/invoke/fib,531,0,5
1674038983321,6584,HTTP Request,200,OK,Open Model Thread Group 1-4,text,true,,348,273,1,2,http://10.10.1.2:1323/invoke/fib,6584,0,5
1674038986248,6048,HTTP Request,200,OK,Open Model Thread Group 2-7,text,true,,410,274,3,3,http://10.10.1.2:1323/invoke/hash,6048,0,3
1674038989981,4938,HTTP Request,200,OK,Open Model Thread Group 2-8,text,true,,403,274,2,2,http://10.10.1.2:1323/invoke/hash,4938,0,6
1674038991571,3899,HTTP Request,200,OK,Open Model Thread Group 2-9,text,true,,421,274,1,1,http://10.10.1.2:1323/invoke/hash,3898,0,11
1674038996980,6111,HTTP Request,200,OK,Open Model Thread Group 1-5,text,true,,333,273,2,2,http://10.10.1.2:1323/invoke/fib,6111,0,6
1674039004170,19,HTTP Request,200,OK,Open Model Thread Group 2-10,text,true,,404,274,1,2,http://10.10.1.2:1323/invoke/hash,19,0,4
1674039004325,23,HTTP Request,200,OK,Open Model Thread Group 2-11,text,true,,414,274,1,2,http://10.10.1.2:1323/invoke/hash,23,0,9
1674039002592,5230,HTTP Request,200,OK,Open Model Thread Group 1-6,text,true,,341,273,1,1,http://10.10.1.2:1323/invoke/fib,5230,0,3
1674039008892,351,HTTP Request,200,OK,Open Model Thread Group 1-7,text,true,,331,273,1,1,http://10.10.1.2:1323/invoke/fib,351,0,4
1674039009354,19,HTTP Request,200,OK,Open Model Thread Group 2-12,text,true,,415,274,1,1,http://10.10.1.2:1323/invoke/hash,19,0,3
1674039015980,119,HTTP Request,200,OK,Open Model Thread Group 2-13,text,true,,414,274,1,1,http://10.10.1.2:1323/invoke/hash,119,0,4
1674039016895,384,HTTP Request,200,OK,Open Model Thread Group 1-8,text,true,,333,273,1,1,http://10.10.1.2:1323/invoke/fib,384,0,3
1674039021423,20,HTTP Request,200,OK,Open Model Thread Group 2-14,text,true,,414,274,1,1,http://10.10.1.2:1323/invoke/hash,20,0,3
1674039022287,361,HTTP Request,200,OK,Open Model Thread Group 1-9,text,true,,333,273,1,2,http://10.10.1.2:1323/invoke/fib,361,0,2
1674039022628,24,HTTP Request,200,OK,Open Model Thread Group 2-15,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,24,0,6
1674039024597,21,HTTP Request,200,OK,Open Model Thread Group 2-16,text,true,,405,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,4
1674039028870,22,HTTP Request,200,OK,Open Model Thread Group 2-17,text,true,,414,274,1,1,http://10.10.1.2:1323/invoke/hash,22,0,3
1674039030319,485,HTTP Request,200,OK,Open Model Thread Group 1-10,text,true,,332,273,1,1,http://10.10.1.2:1323/invoke/fib,485,0,3
