timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674033788364,186,HTTP Request,429,Too Many Requests,Open Model Thread Group 1-1,text,false,,131,363,1,2,http://10.10.1.2:1323/invoke/imageclass,176,0,4
1674033785942,6628,HTTP Request,200,OK,Open Model Thread Group 2-1,text,true,,403,274,1,1,http://10.10.1.2:1323/invoke/hash,6628,0,50
1674033794277,21,HTTP Request,200,OK,Open Model Thread Group 2-2,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,21,0,6
1674033795680,18,HTTP Request,200,OK,Open Model Thread Group 2-3,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,18,0,3
1674033803838,23,HTTP Request,200,OK,Open Model Thread Group 2-4,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,22,0,8
1674033814700,17,HTTP Request,200,OK,Open Model Thread Group 2-5,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,17,0,3
1674033815938,19,HTTP Request,200,OK,Open Model Thread Group 2-6,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,19,0,7
1674033817726,16,HTTP Request,200,OK,Open Model Thread Group 2-7,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,16,0,2
1674033818356,39,HTTP Request,200,OK,Open Model Thread Group 2-8,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,39,0,9
1674033820905,16,HTTP Request,200,OK,Open Model Thread Group 2-9,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,16,0,3
1674033823168,21,HTTP Request,200,OK,Open Model Thread Group 2-10,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,21,0,9
1674033826097,23,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-3,text,false,,135,363,2,2,http://10.10.1.2:1323/invoke/imageclass,23,0,4
1674033833889,23,HTTP Request,200,OK,Open Model Thread Group 2-11,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,22,0,6
1674033834258,17,HTTP Request,200,OK,Open Model Thread Group 2-12,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,17,0,2
1674033835441,15,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-4,text,false,,135,363,2,2,http://10.10.1.2:1323/invoke/imageclass,15,0,3
1674033814772,22875,HTTP Request,200,OK,Open Model Thread Group 1-2,text,true,,420,363,1,1,http://10.10.1.2:1323/invoke/imageclass,22875,0,3
1674033838927,17,HTTP Request,200,OK,Open Model Thread Group 2-13,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,17,0,3
1674033839324,15,HTTP Request,200,OK,Open Model Thread Group 2-14,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,15,0,2
1674033845154,22,HTTP Request,200,OK,Open Model Thread Group 2-15,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,22,0,6
1674033848673,149,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-6,text,false,,135,363,2,2,http://10.10.1.2:1323/invoke/imageclass,149,0,6
1674033848164,1872,HTTP Request,200,OK,Open Model Thread Group 1-5,text,true,,426,363,1,1,http://10.10.1.2:1323/invoke/imageclass,1872,0,3
1674033850966,119,HTTP Request,200,OK,Open Model Thread Group 2-16,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,119,0,5
1674033853053,20,HTTP Request,200,OK,Open Model Thread Group 2-17,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,20,0,3
1674033857308,20,HTTP Request,200,OK,Open Model Thread Group 2-18,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,20,0,6
1674033859038,31,HTTP Request,200,OK,Open Model Thread Group 2-19,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,31,0,3
1674033859381,16,HTTP Request,200,OK,Open Model Thread Group 2-20,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,16,0,3
1674033860469,24,HTTP Request,200,OK,Open Model Thread Group 2-21,text,true,,393,274,1,1,http://10.10.1.2:1323/invoke/hash,24,0,12
1674033866248,15,HTTP Request,200,OK,Open Model Thread Group 2-22,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,13,0,3
1674033866335,1776,HTTP Request,200,OK,Open Model Thread Group 1-7,text,true,,412,363,1,1,http://10.10.1.2:1323/invoke/imageclass,1776,0,3
1674033869465,16,HTTP Request,429,Too Many Requests,Open Model Thread Group 1-8,text,false,,131,363,1,1,http://10.10.1.2:1323/invoke/imageclass,16,0,7
1674033870845,16,HTTP Request,200,OK,Open Model Thread Group 2-23,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,16,0,2
