timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674038689279,4888,HTTP Request,200,OK,Open Model Thread Group 2-1,text,true,,422,274,1,1,http://10.10.1.2:1323/invoke/hash,4877,0,54
1674038695520,6400,HTTP Request,200,OK,Open Model Thread Group 2-2,text,true,,403,274,2,3,http://10.10.1.2:1323/invoke/hash,6400,0,5
1674038702609,17,HTTP Request,200,OK,Open Model Thread Group 2-4,text,true,,394,274,2,3,http://10.10.1.2:1323/invoke/hash,17,0,4
1674038697653,5775,HTTP Request,200,OK,Open Model Thread Group 2-3,text,true,,409,274,1,2,http://10.10.1.2:1323/invoke/hash,5775,0,4
1674038705215,1174,HTTP Request,500,Internal Server Error,Open Model Thread Group 1-3,text,false,,135,273,3,3,http://10.10.1.2:1323/invoke/fib,1174,0,5
1674038707124,19,HTTP Request,200,OK,Open Model Thread Group 2-5,text,true,,394,274,1,3,http://10.10.1.2:1323/invoke/hash,19,0,3
1674038701587,6095,HTTP Request,200,OK,Open Model Thread Group 1-1,text,true,,352,273,2,2,http://10.10.1.2:1323/invoke/fib,6095,0,3
1674038708140,21,HTTP Request,200,OK,Open Model Thread Group 2-6,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,21,0,4
1674038710180,22,HTTP Request,200,OK,Open Model Thread Group 2-7,text,true,,394,274,1,2,http://10.10.1.2:1323/invoke/hash,22,0,6
1674038710531,19,HTTP Request,200,OK,Open Model Thread Group 2-8,text,true,,391,274,1,2,http://10.10.1.2:1323/invoke/hash,19,0,5
1674038711028,30,HTTP Request,200,OK,Open Model Thread Group 2-9,text,true,,393,274,1,2,http://10.10.1.2:1323/invoke/hash,30,0,14
1674038704873,6520,HTTP Request,200,OK,Open Model Thread Group 1-2,text,true,,360,273,1,1,http://10.10.1.2:1323/invoke/fib,6520,0,11
1674038711985,20,HTTP Request,200,OK,Open Model Thread Group 2-10,text,true,,392,274,1,1,http://10.10.1.2:1323/invoke/hash,20,0,5
1674038713087,27,HTTP Request,200,OK,Open Model Thread Group 2-11,text,true,,394,274,1,1,http://10.10.1.2:1323/invoke/hash,27,0,3
